ImageID         , DiademScore, SourceImage, FilterType, SigMin, SigMax, SigStep, NeuronThreshold, PruningThreshold, SmoothingFactor, NumPointsPerBranch
OP_1            , 0.897      , OP_1       , frangi    ,    1.0,    2.0,     0.5,            0.05,                5,             0.8,                 15
OP_2            , 0.793      , OP_2       , frangi    ,    1.0,    2.0,     0.5,            0.05,                5,             0.8,                 15
OP_3            , 0.775      , OP_3       , frangi    ,    1.0,    2.0,     0.5,            0.05,                5,             0.8,                 15
OP_4            , 0.561      , OP_4       , frangi    ,    1.0,    2.0,     0.5,            0.05,                5,             0.8,                 15
OP_5            , 0          , OP_5       , frangi    ,    1.0,    2.0,     0.5,            0.05,                5,             0.8,                 15
OP_6            , 0.81       , OP_6       , frangi    ,    1.0,    2.0,     0.5,            0.05,                5,             0.8,                 15
OP_7            , 0.817      , OP_7       , frangi    ,    1.0,    2.0,     0.5,            0.05,                5,             0.8,                 15
OP_8            , 0.824      , OP_8       , frangi    ,    1.0,    2.0,     0.5,            0.05,                5,             0.8,                 15
OP_9            , 0.671      , OP_9       , frangi    ,    1.0,    2.0,     0.5,            0.05,                5,             0.8,                 15
Total Sum: 6.148, Mean: 0.683
OP_1            , 0.871      , OP_1       , yang      ,    1.0,    2.0,     0.5,            0.05,                5,             0.8,                 15
OP_2            , 0.795      , OP_2       , yang      ,    1.0,    2.0,     0.5,            0.05,                5,             0.8,                 15
OP_3            , 0.755      , OP_3       , yang      ,    1.0,    2.0,     0.5,            0.05,                5,             0.8,                 15
OP_4            , 0.465      , OP_4       , yang      ,    1.0,    2.0,     0.5,            0.05,                5,             0.8,                 15
OP_5            , 0.554      , OP_5       , yang      ,    1.0,    2.0,     0.5,            0.05,                5,             0.8,                 15
OP_6            , 0.812      , OP_6       , yang      ,    1.0,    2.0,     0.5,            0.05,                5,             0.8,                 15
OP_7            , 0.864      , OP_7       , yang      ,    1.0,    2.0,     0.5,            0.05,                5,             0.8,                 15
OP_8            , 0.55       , OP_8       , yang      ,    1.0,    2.0,     0.5,            0.05,                5,             0.8,                 15
OP_9            , 0.535      , OP_9       , yang      ,    1.0,    2.0,     0.5,            0.05,                5,             0.8,                 15
Total Sum: 6.201, Mean: 0.689